datetime,timestamp,open,high,low,close,volume
2025-05-19 20:00:00,1747684800,0.7422,0.7449,0.7391,0.7429,1246237.68000182
2025-05-19 21:00:00,1747688400,0.743,0.7432,0.7375,0.7423,1154224.67972808
2025-05-19 22:00:00,1747692000,0.742,0.7431,0.7375,0.741,938350.88153515
2025-05-19 23:00:00,1747695600,0.7413,0.745,0.7398,0.7427,909434.62445699
2025-05-20 00:00:00,1747699200,0.7429,0.7503,0.7403,0.7415,1322208.58132291
2025-05-20 01:00:00,1747702800,0.7413,0.7527,0.7404,0.7487,1102584.11628912
2025-05-20 02:00:00,1747706400,0.7485,0.7539,0.7457,0.7467,1462894.09821806
2025-05-20 03:00:00,1747710000,0.7468,0.7479,0.7405,0.7434,1168270.61177833
2025-05-20 04:00:00,1747713600,0.7435,0.7453,0.7394,0.7444,630843.57818343
2025-05-20 05:00:00,1747717200,0.7446,0.747,0.743,0.7431,1098279.35991156
2025-05-20 06:00:00,1747720800,0.743,0.7443,0.7352,0.7382,975655.07385576
2025-05-20 07:00:00,1747724400,0.7383,0.7392,0.7313,0.7333,713305.8430216
2025-05-20 08:00:00,1747728000,0.7331,0.7358,0.7289,0.7343,847464.2884487
2025-05-20 09:00:00,1747731600,0.7342,0.737,0.7318,0.7324,903674.86884631
2025-05-20 10:00:00,1747735200,0.7325,0.735,0.7267,0.7288,629904.98063421
2025-05-20 11:00:00,1747738800,0.729,0.7316,0.7243,0.7293,1450341.9492568
2025-05-20 12:00:00,1747742400,0.729,0.7292,0.7228,0.7271,698978.16991151
2025-05-20 13:00:00,1747746000,0.7268,0.7309,0.7237,0.7254,1333447.18704889
2025-05-20 14:00:00,1747749600,0.7253,0.7301,0.724,0.7262,1086183.64989429
2025-05-20 15:00:00,1747753200,0.7262,0.734,0.7259,0.7325,849307.45859928
2025-05-20 16:00:00,1747756800,0.7325,0.7345,0.7278,0.7284,624770.54655926
2025-05-20 17:00:00,1747760400,0.7285,0.7387,0.7281,0.737,1078394.2169435
2025-05-20 18:00:00,1747764000,0.737,0.7388,0.725,0.726,1122485.39386475
