symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,usd_size
NEIRO,SELL,LIMIT,IOC,92028006.00000000,0.00,0.00,FILLED,155342.35
SOL,BUY,LIMIT,IOC,432.00000000,235.94,234.59,FILLED,101924.52
FIL,BUY,LIMIT,IOC,17012.40000000,8.46,8.40,FILLED,143924.90
BTC,BUY,LIMIT,IOC,1.40000000,98833.48,98387.20,FILLED,138366.87
BTC,BUY,LIMIT,IOC,1.16000000,98877.08,98481.43,FILLED,114697.41
MOODENG,SELL,LIMIT,IOC,299087.00000000,0.46,0.46,FILLED,136607.60
ETH,SELL,LIMIT,IOC,99.26800000,3826.39,3845.11,FILLED,379838.08
XRP,SELL,LIMIT,IOC,49182.30000000,2.34,2.36,FILLED,115061.99
ETH,SELL,LIMIT,IOC,97.36300000,3842.45,3861.77,FILLED,374112.46
BTC,BUY,LIMIT,IOC,2.67100000,99491.09,99030.60,FILLED,265740.70
BTC,BUY,LIMIT,IOC,10.37100000,99581.24,99040.10,FILLED,1032757.04
ETH,SELL,LIMIT,IOC,93.67600000,3804.95,3823.57,FILLED,356432.50
BTCUSDC,BUY,LIMIT,IOC,2.03100000,99825.60,99447.60,FILLED,202745.79
BTC,BUY,LIMIT,IOC,1.03300000,99910.29,99480.00,FILLED,103207.33
BTC,BUY,LIMIT,IOC,6.06100000,100001.54,99540.85,FILLED,606109.33
BTC,BUY,LIMIT,IOC,1.05000000,99984.23,99616.34,FILLED,104983.44
ETH,BUY,LIMIT,IOC,466.00000000,3869.27,3847.78,FILLED,1803079.82
BTC,BUY,LIMIT,IOC,2.75000000,100420.23,100117.22,FILLED,276155.63
BTC,BUY,LIMIT,IOC,4.90800000,100612.48,100436.24,FILLED,493806.05
SOL,BUY,LIMIT,IOC,529.00000000,230.68,229.23,FILLED,122029.40
ETH,BUY,LIMIT,IOC,57.62100000,3870.59,3854.95,FILLED,223027.27
DOGE,BUY,LIMIT,IOC,270210.00000000,0.43,0.43,FILLED,115951.16
BTCUSDC,BUY,LIMIT,IOC,1.60200000,101076.10,100860.00,FILLED,161923.91
ETH,BUY,LIMIT,IOC,54.04500000,3858.42,3843.28,FILLED,208528.31
BTC,BUY,LIMIT,IOC,21.68600000,101772.13,101687.62,FILLED,2207030.41
SOL,BUY,LIMIT,IOC,426.00000000,235.02,233.70,FILLED,100117.50
AVAX,BUY,LIMIT,IOC,3635.00000000,52.44,51.90,FILLED,190633.58
BTCUSDC,BUY,LIMIT,IOC,1.10100000,102080.20,101885.00,FILLED,112390.30
ETH,BUY,LIMIT,IOC,28.90300000,3880.16,3865.00,FILLED,112148.26
BTC,BUY,LIMIT,IOC,1.14200000,102250.04,102067.24,FILLED,116769.55
XRP,BUY,LIMIT,IOC,65787.80000000,2.40,2.38,FILLED,157923.61
BTCUSDC,SELL,LIMIT,IOC,4.80000000,100762.80,101203.80,FILLED,483661.44
BTC,SELL,LIMIT,IOC,2.12000000,100649.94,101111.67,FILLED,213377.87
BTC,BUY,LIMIT,IOC,1.82200000,102306.04,101819.02,FILLED,186401.60
