param_rsi_oversold_threshold,param_rsi_overbought_threshold,param_stop_atr_multiplier,param_take_profit_atr_multiplier,param_max_bb_width,param_min_rel_volume,param_trend_filter_enabled,param_macd_filter_enabled,param_support_resistance_filter,stat_total_trades,stat_winning_trades,stat_win_rate,stat_profit_factor,stat_total_return,stat_total_return_pct,stat_max_drawdown_pct,stat_avg_trade,stat_sharpe_ratio
30,70,3.0,3.0,0.2,1.2,True,True,True,8,6,75.0,2.9174630701892887,369.1231888975126,3.6912318889751257,1.0396789949590883,50.50362937668472,0.27439635391298645
35,70,3.0,3.0,0.2,1.2,True,True,True,8,6,75.0,2.9174630701892887,369.1231888975126,3.6912318889751257,1.0396789949590883,50.50362937668472,0.27439635391298645
25,75,1.5,3.0,0.2,1.2,True,True,True,5,3,60.0,2.9555158759090925,367.31773103138767,3.6731773103138763,1.0567837363091348,80.09923359694953,0.20816571288402205
30,75,1.5,3.0,0.2,1.2,True,True,True,5,3,60.0,2.9555158759090925,367.31773103138767,3.6731773103138763,1.0567837363091348,80.09923359694953,0.20816571288402205
35,75,1.5,3.0,0.2,1.2,True,True,True,5,3,60.0,2.9555158759090925,367.31773103138767,3.6731773103138763,1.0567837363091348,80.09923359694953,0.20816571288402205
25,75,2.5,3.0,0.2,1.2,True,True,True,5,4,80.0,4.663926505950543,363.8241364433543,3.6382413644335427,0.0,76.74845458045397,0.29426456047601707
30,75,2.5,3.0,0.2,1.2,True,True,True,5,4,80.0,4.663926505950543,363.8241364433543,3.6382413644335427,0.0,76.74845458045397,0.29426456047601707
35,75,2.5,3.0,0.2,1.2,True,True,True,5,4,80.0,4.663926505950543,363.8241364433543,3.6382413644335427,0.0,76.74845458045397,0.29426456047601707
25,70,2.5,5.0,0.2,1.2,True,True,True,8,4,50.0,1.957663227868404,355.98689474531966,3.5598689474531966,1.0474147939509186,49.72418946090305,0.16978059657739555
30,70,2.5,5.0,0.2,1.2,True,True,True,8,4,50.0,1.957663227868404,355.98689474531966,3.5598689474531966,1.0474147939509186,49.72418946090305,0.16978059657739555
35,70,2.5,5.0,0.2,1.2,True,True,True,8,4,50.0,1.957663227868404,355.98689474531966,3.5598689474531966,1.0474147939509186,49.72418946090305,0.16978059657739555
25,70,3.0,2.0,0.2,1.2,True,True,True,8,7,87.5,4.574263337597956,336.61075026235085,3.366107502623508,1.0396789949590848,46.386282342362776,0.3517361697625143
30,70,3.0,2.0,0.2,1.2,True,True,True,8,7,87.5,4.574263337597956,336.61075026235085,3.366107502623508,1.0396789949590848,46.386282342362776,0.3517361697625143
35,70,3.0,2.0,0.2,1.2,True,True,True,8,7,87.5,4.574263337597956,336.61075026235085,3.366107502623508,1.0396789949590848,46.386282342362776,0.3517361697625143
25,70,3.0,4.0,0.2,1.2,True,True,True,8,5,62.5,2.165827992558641,332.57487703616425,3.3257487703616424,1.0396789949590806,45.94494087056908,0.2039373279615502
30,70,3.0,4.0,0.2,1.2,True,True,True,8,5,62.5,2.165827992558641,332.57487703616425,3.3257487703616424,1.0396789949590806,45.94494087056908,0.2039373279615502
35,70,3.0,4.0,0.2,1.2,True,True,True,8,5,62.5,2.165827992558641,332.57487703616425,3.3257487703616424,1.0396789949590806,45.94494087056908,0.2039373279615502
25,75,1.5,5.0,0.2,1.2,True,True,True,5,2,40.0,2.163360598661377,327.06210863272463,3.270621086327246,1.0773859535144708,72.11201833869245,0.14023602357515721
30,75,1.5,5.0,0.2,1.2,True,True,True,5,2,40.0,2.163360598661377,327.06210863272463,3.270621086327246,1.0773859535144708,72.11201833869245,0.14023602357515721
35,75,1.5,5.0,0.2,1.2,True,True,True,5,2,40.0,2.163360598661377,327.06210863272463,3.270621086327246,1.0773859535144708,72.11201833869245,0.14023602357515721
25,75,3.0,3.0,0.2,1.2,True,True,True,5,4,80.0,3.9051435742534926,285.40196072537947,2.854019607253795,0.0,60.38899047890827,0.2689543392883694
30,75,3.0,3.0,0.2,1.2,True,True,True,5,4,80.0,3.9051435742534926,285.40196072537947,2.854019607253795,0.0,60.38899047890827,0.2689543392883694
35,75,3.0,3.0,0.2,1.2,True,True,True,5,4,80.0,3.9051435742534926,285.40196072537947,2.854019607253795,0.0,60.38899047890827,0.2689543392883694
25,75,2.0,2.0,0.2,1.2,True,True,True,5,4,80.0,3.9067822482145336,276.9693151828451,2.769693151828451,0.0,60.385315600565356,0.26221381267325494
30,75,2.0,2.0,0.2,1.2,True,True,True,5,4,80.0,3.9067822482145336,276.9693151828451,2.769693151828451,0.0,60.385315600565356,0.26221381267325494
