trade_number,direction,entry_time,exit_time,entry_price,exit_price,position_size,profit_loss,profit_loss_pct,exit_reason
38,long,2024-11-30 00:00:00,2024-11-30 22:00:00,1.0589,1.0774,1315.291103690477,24.332885418273772,1.7470960430635563,reversal_signal
39,short,2024-11-30 22:00:00,2024-12-01 19:00:00,1.0774,1.0946,16973.793757678763,-291.9492526320765,-1.571350264936977,reversal_signal
40,long,2024-12-01 19:00:00,2024-12-02 15:00:00,1.0946,1.1976334250189522,10606.449889957035,1092.8188594541618,9.412883703540299,take_profit
41,long,2024-12-02 15:00:00,2024-12-09 20:00:00,1.2078,1.046232,3525.3775742692833,-569.5882039195393,-13.37704918032786,trailing_stop
42,short,2024-12-09 20:00:00,2024-12-12 05:00:00,1.0422,1.162712,4486.785366024448,-540.7114780303381,-10.364733485162269,trailing_stop
43,short,2024-12-13 15:00:00,2024-12-17 10:00:00,1.0843,1.0959,11460.310765851707,-132.93960488388043,-1.0584907382060416,reversal_signal
44,long,2024-12-17 10:00:00,2024-12-18 01:00:00,1.0959,1.044846,9897.069515871264,-505.28498706329304,-4.6586367369285675,trailing_stop
45,short,2024-12-18 15:00:00,2024-12-19 17:00:00,1.0226,0.9193170147949867,12438.616893763003,1284.6974846093517,11.234751836725865,take_profit
46,short,2024-12-19 17:00:00,2025-01-02 10:00:00,0.904,0.9653,5874.3227938565315,-360.0959872634055,-6.350357401843986,reversal_signal
47,long,2025-01-02 10:00:00,2025-01-03 09:00:00,0.9653,1.049325679258148,10138.384925318729,851.8846799304739,8.704618176540757,take_profit
48,long,2025-01-06 15:00:00,2025-01-07 15:00:00,1.095,1.051677,13041.748188605756,-565.0076567749671,-3.9564383561643823,trailing_stop
49,short,2025-01-09 13:00:00,2025-01-10 06:00:00,0.8819,0.936068,9883.278926532368,-535.3574528924053,-5.786759081605187,trailing_stop
50,short,2025-01-13 11:00:00,2025-01-14 06:00:00,0.8926,0.9585910000000001,7693.340091930846,-507.6912060066095,-6.884166448464479,trailing_stop
51,long,2025-01-15 14:00:00,2025-01-20 00:00:00,1.0511,0.9813869999999999,6908.246003032043,-481.59455360937295,-6.632385120350115,trailing_stop
52,short,2025-01-22 07:00:00,2025-01-27 06:00:00,0.99,0.8947686211326792,15595.137918858545,1485.146487638939,10.643129030024356,take_profit
