DOGE,BUY,LIMIT,IOC,773993.00000000,0.33,0.33,FILLED,256594.93
BTC,BUY,LIMIT,IOC,3.74400000,87589.66,87216.29,FILLED,327935.69
BTC,BUY,LIMIT,IOC,1.66100000,87698.42,87309.70,FILLED,145667.08
BTC,BUY,LIMIT,IOC,2.06200000,88167.89,87772.85,FILLED,181802.19
APT,BUY,LIMIT,IOC,8789.20000000,13.77,13.70,FILLED,121066.04
SUI,SELL,LIMIT,IOC,36786.70000000,3.19,3.24,FILLED,117469.42
WLD,BUY,LIMIT,IOC,41014.00000000,2.82,2.81,FILLED,115800.55
DOGEUSDC,BUY,LIMIT,IOC,452934.00000000,0.36,0.36,FILLED,164757.01
BTC,BUY,LIMIT,IOC,2.17500000,89224.46,88868.52,FILLED,194063.20
DOGE,SELL,LIMIT,IOC,430949.00000000,0.35,0.36,FILLED,152266.35
ETH,BUY,LIMIT,IOC,50.00000000,3344.10,3329.38,FILLED,167205.00
WIF,SELL,LIMIT,IOC,51635.20000000,2.94,2.98,FILLED,151876.81
BTCUSDC,SELL,LIMIT,IOC,1.78700000,87558.30,87991.70,FILLED,156466.68
WLD,SELL,LIMIT,IOC,45128.00000000,2.65,2.68,FILLED,119804.10
WIF,BUY,LIMIT,IOC,32700.50000000,3.24,3.20,FILLED,106020.38
